Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
5.44,-14.32394488,-3.58098622,7.161972439,0.982653061,-0.005102041,-0.115306122,-113.1875,-11.9375,22.75
5.50,-17.9049311,0,7.161972439,0.978571429,-0.015306122,-0.109183673,-115,-11.5625,22.375
5.56,3.58098622,-10.74295866,14.32394488,0.982653061,-0.013265306,-0.107142857,-114.625,-11.5625,22.0625
5.63,-7.161972439,7.161972439,7.161972439,0.982653061,-0.02244898,-0.096938776,-114.625,-11.5625,22.0625
5.69,-17.9049311,0,0,0.982653061,-0.017346939,-0.098979592,-115.3125,-9.75,22.0625
5.75,-17.9049311,-32.22887598,-10.74295866,0.984693878,-0.017346939,-0.101020408,-115,-10.5,20.625
5.81,-28.64788976,-28.64788976,-7.161972439,0.984693878,-0.009183673,-0.11122449,-115,-10.5,20.625
5.88,-14.32394488,-35.8098622,-3.58098622,0.980612245,-0.01122449,-0.115306122,-115,-11.1875,20.9375
5.94,-21.48591732,-7.161972439,3.58098622,0.982653061,-0.01122449,-0.11122449,-113.875,-11.1875,22
6.00,-7.161972439,-21.48591732,7.161972439,0.980612245,-0.009183673,-0.105102041,-113.875,-11.1875,22
6.06,-14.32394488,7.161972439,10.74295866,0.980612245,-0.015306122,-0.101020408,-113.5625,-10.875,22.75
6.13,-10.74295866,-25.06690354,0,0.980612245,-0.02244898,-0.101020408,-113.5625,-10.875,22.75
6.19,-21.48591732,-7.161972439,-10.74295866,0.982653061,-0.021428571,-0.103061224,-114.25,-10.125,21.6875
6.25,-35.8098622,-32.22887598,-14.32394488,0.982653061,-0.013265306,-0.107142857,-115,-9.0625,22
6.31,-39.39084842,-21.48591732,-10.74295866,0.980612245,-0.007142857,-0.11122449,-115,-10.125,22.0625
6.38,-3.58098622,-17.9049311,3.58098622,0.982653061,-0.003061224,-0.11122449,-115,-10.125,22.0625
6.44,0,-7.161972439,17.9049311,0.980612245,-0.009183673,-0.107142857,-114.625,-10.125,20.9375
6.50,3.58098622,-17.9049311,14.32394488,0.980612245,-0.017346939,-0.105102041,-114.625,-10.125,20.9375
6.56,-14.32394488,-7.161972439,7.161972439,0.980612245,-0.019387755,-0.101020408,-115.3125,-9.75,22.375
6.63,-21.48591732,-21.48591732,0,0.980612245,-0.02244898,-0.101020408,-115,-10.5,21.3125
6.69,-25.06690354,-10.74295866,-3.58098622,0.980612245,-0.017346939,-0.103061224,-115,-10.5,21.3125
6.75,-17.9049311,-21.48591732,-7.161972439,0.982653061,-0.009183673,-0.103061224,-115.3125,-11.5625,22.75
6.81,-32.22887598,-17.9049311,-17.9049311,0.982653061,-0.009183673,-0.107142857,-115.3125,-11.9375,22
6.88,-21.48591732,-21.48591732,-3.58098622,0.982653061,-0.005102041,-0.113265306,-115.3125,-11.9375,22
6.94,-14.32394488,0,7.161972439,0.982653061,-0.005102041,-0.115306122,-116.0625,-10.5,22.375
7.00,10.74295866,10.74295866,10.74295866,0.982653061,-0.009183673,-0.109183673,-113.5625,-10.875,21.6875
7.06,3.58098622,0,17.9049311,0.982653061,-0.024489796,-0.096938776,-113.5625,-10.875,21.6875
7.13,-10.74295866,-14.32394488,3.58098622,0.982653061,-0.02244898,-0.096938776,-113.875,-9.375,22.75
7.19,-21.48591732,-17.9049311,-7.161972439,0.980612245,-0.021428571,-0.105102041,-114.625,-10.125,22.0625
7.25,-28.64788976,-21.48591732,-17.9049311,0.982653061,-0.01122449,-0.107142857,-114.625,-10.125,22.0625
