Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT)
30.06,-25.06690354,-21.48591732,-3.58098622,0.982653061,-0.019387755,-0.103061224,-114.25,-10.875,21.3125
30.13,-21.48591732,-21.48591732,-7.161972439,0.980612245,-0.013265306,-0.107142857,-114.625,-10.125,23.8125
30.19,-17.9049311,-7.161972439,-3.58098622,0.982653061,-0.013265306,-0.107142857,-114.625,-10.125,23.8125
30.25,-21.48591732,0,0,0.980612245,-0.007142857,-0.105102041,-114.625,-11.1875,22.375
30.31,0,-17.9049311,0,0.980612245,-0.009183673,-0.105102041,-113.5625,-9.75,21.6875
30.38,-10.74295866,-10.74295866,3.58098622,0.982653061,-0.01122449,-0.105102041,-113.5625,-9.75,21.6875
30.44,3.58098622,-17.9049311,3.58098622,0.982653061,-0.015306122,-0.103061224,-114.625,-10.875,22
30.50,-21.48591732,-17.9049311,0,0.980612245,-0.017346939,-0.105102041,-114.25,-11.5625,22
30.56,-10.74295866,-25.06690354,-3.58098622,0.984693878,-0.015306122,-0.109183673,-114.25,-11.5625,22
30.63,-17.9049311,-10.74295866,-3.58098622,0.982653061,-0.017346939,-0.103061224,-115.3125,-9.375,22
30.69,-21.48591732,-17.9049311,-7.161972439,0.982653061,-0.009183673,-0.105102041,-115.3125,-9.375,22
30.75,-14.32394488,-7.161972439,0,0.982653061,-0.007142857,-0.109183673,-113.1875,-10.125,21.6875
30.81,-21.48591732,-3.58098622,-7.161972439,0.980612245,-0.009183673,-0.109183673,-115,-11.1875,21.3125
30.88,-14.32394488,-21.48591732,7.161972439,0.980612245,-0.013265306,-0.109183673,-115,-11.1875,21.3125
30.94,-21.48591732,-7.161972439,0,0.980612245,-0.015306122,-0.107142857,-115.6875,-11.1875,22.375
31.00,-10.74295866,0,7.161972439,0.982653061,-0.015306122,-0.105102041,-115,-11.5625,24.1875
31.06,-25.06690354,-17.9049311,0,0.97755102,-0.017346939,-0.103061224,-115,-11.5625,24.1875
31.13,-25.06690354,-17.9049311,-7.161972439,0.980612245,-0.015306122,-0.107142857,-114.25,-11.5625,21.3125
31.19,-25.06690354,-7.161972439,0,0.97755102,-0.01122449,-0.103061224,-113.875,-10.125,21.6875
31.25,-10.74295866,-17.9049311,-7.161972439,0.982653061,-0.01122449,-0.109183673,-113.875,-10.125,21.6875
31.31,-111.0105728,257.8310078,121.7535315,16.01428571,0.325510204,-0.412244898,-114.25,-10.875,21.3125
31.38,-501.3380707,293.64087,-168.3063523,15.4877551,-0.801020408,-1.006122449,-114.625,-9.75,20.9375
31.44,1310.640956,440.461305,-827.2078167,14.44591837,-0.105102041,0.015306122,-114.625,-9.75,20.9375
31.50,3627.53904,859.4366927,-458.3662361,14.08571429,0.351020408,-0.109183673,-115,-12.3125,20.625
31.56,4096.648235,-35.8098622,390.3274979,13.55204082,-0.060204082,-0.652040816,-113.875,-11.9375,21.6875
31.63,4784.197589,-766.331051,658.9014644,13.01836735,-0.192857143,-0.145918367,-113.875,-11.9375,21.6875
31.69,5840.588524,-1350.031805,236.3450905,12.56326531,-0.198979592,-0.339795918,-114.625,-10.125,23.4375
31.75,7695.539386,-1643.672675,143.2394488,12.15102041,-0.083673469,-0.357142857,-113.875,-7.9375,29.5
31.81,9890.683938,-1786.912124,494.1760983,11.84387755,-0.22244898,-0.316326531,-113.875,-7.9375,29.5
31.88,12615.81445,-1124.429673,748.4261199,11.51938776,-0.147959184,-0.404081633,-113.875,-4.375,34.5
31.94,15416.14568,-282.8979113,519.2430018,11.17653061,-0.120408163,-0.269387755,-111.75,3.9375,36.25
32.00,19312.25868,544.3099054,-418.9753877,10.82857143,-0.207142857,-0.267346939,-111.75,3.9375,36.25
32.06,22878.92096,383.1655255,-2384.936822,10.2244898,-0.254081633,-0.37244898,-112.8125,13.3125,33.4375
32.13,26936.17834,-766.331051,-3351.803102,9.632653061,-0.304081633,-0.444897959,-113.5625,17.625,24.1875
32.19,30173.38989,-1453.880405,-2521.014299,9.141836735,-0.339795918,-0.525510204,-113.5625,17.625,24.1875
32.25,32959.39716,-257.8310078,-1564.890978,8.842857143,-0.390816327,-0.46122449,-116.0625,14,15.625
32.31,36730.17565,1024.162059,-2889.855879,6.544897959,-0.42755102,-0.466326531,-116.0625,14,15.625
32.38,41378.29577,17.9049311,-4078.743304,2.607142857,-0.418367347,-0.48877551,-115.3125,2.875,8.875
32.44,43752.48963,-358.098622,-3029.514342,0.675510204,-0.318367347,-0.357142857,-113.875,-12.625,18.5
32.50,45582.37359,0,-2495.947395,-0.105102041,-0.333673469,-0.378571429,-113.875,-12.625,18.5
32.56,46681.73636,42.97183463,-2474.461478,-0.570408163,-0.412244898,-0.474489796,-113.1875,-3.625,34.125
32.63,46327.21872,-325.869746,-2793.169251,-0.578571429,-0.331632653,-0.453061224,-113.1875,14.75,28.0625
32.69,45568.04964,-1059.971921,-2811.074182,-0.589795918,-0.410204082,-0.510204082,-113.1875,14.75,28.0625
32.75,45152.65524,-1378.679695,-2281.088222,-0.617346939,-0.359183673,-0.4,-114.25,12.9375,11.375
32.81,43738.16569,-1074.295866,-2227.373429,-0.6,-0.320408163,-0.459183673,-115,-3.25,10.625
32.88,42778.46138,-1468.20435,-2467.299505,-0.632653061,-0.38877551,-0.301020408,-115,-3.25,10.625
32.94,42513.4684,-1221.116301,-1865.69382,-0.566326531,-0.282653061,-0.374489796,-115.3125,-6.875,26.3125
33.00,41557.34508,-805.7218994,-2327.641043,-0.564285714,-0.395918367,-0.466326531,-114.25,5,33.4375
33.06,41181.34153,-1797.655082,-2084.13398,-0.597959184,-0.194897959,-0.397959184,-114.25,5,33.4375
33.13,40812.49994,-1786.912124,-1511.176185,-0.517346939,-0.292857143,-0.480612245,-114.625,17.25,23.4375
33.19,39433.82025,-1038.486004,-1887.179738,-0.533673469,-0.247959184,-0.296938776,-114.625,13.3125,11
33.25,38821.47161,-1307.05997,-2452.97556,-0.642857143,-0.294897959,-0.103061224,-114.625,13.3125,11
33.31,38932.48218,-3283.764363,-1865.69382,-0.619387755,-0.192857143,-0.376530612,-115.6875,-0.75,10.3125
33.38,39473.2111,-2657.091775,-948.9613482,-0.540816327,-0.314285714,-0.333673469,-115.6875,-5.8125,25.5625
33.44,39175.98924,-1887.179738,-1310.640956,-0.515306122,-0.37244898,-0.301020408,-115.6875,-5.8125,25.5625
33.50,38975.45401,-2005.352283,-1661.577606,-0.548979592,-0.198979592,-0.343877551,-115.6875,-5.8125,25.5625
33.56,38950.38711,-2277.507236,-1511.176185,-0.53877551,-0.218367347,-0.378571429,-113.875,5.375,31.25
33.63,38803.56668,-2277.507236,-1550.567033,-0.53877551,-0.232653061,-0.26122449,-113.875,5.375,31.25
33.69,38413.23918,-2298.993153,-1786.912124,-0.529591837,-0.257142857,-0.306122449,-115,17.25,24.1875
33.75,38065.88351,-2696.482623,-1890.760724,-0.536734694,-0.269387755,-0.371428571,-115,14.75,11.6875
33.81,37976.35886,-3029.514342,-1475.366322,-0.536734694,-0.228571429,-0.347959184,-115,14.75,11.6875
33.88,37868.92927,-2839.722072,-1031.324031,-0.5,-0.230612245,-0.37244898,-115.3125,0.6875,11.375
33.94,37410.56304,-2349.12696,-988.3521966,-0.476530612,-0.232653061,-0.294897959,-115.3125,0.6875,11.375
34.00,36758.82354,-2191.563566,-1299.897998,-0.470408163,-0.205102041,-0.296938776,-114.625,-5.4375,21.3125
34.06,36207.35167,-2359.869919,-1518.338157,-0.480612245,-0.185714286,-0.27755102,-115,5,30.5625
34.13,35978.16855,-2424.327671,-1468.20435,-0.465306122,-0.194897959,-0.282653061,-115,5,30.5625
34.19,35587.84105,-2431.489643,-1500.433226,-0.466326531,-0.158163265,-0.27755102,-115.6875,15.125,27
34.25,35129.47481,-2528.176271,-1543.405061,-0.463265306,-0.17755102,-0.296938776,-113.875,14,16
34.31,34903.87268,-2692.901637,-1478.947309,-0.46122449,-0.179591837,-0.290816327,-113.875,14,16
34.38,34692.5945,-2746.61643,-1221.116301,-0.448979592,-0.173469388,-0.284693878,-115.3125,6.8125,11.375
34.44,34316.59094,-2431.489643,-1009.838114,-0.418367347,-0.163265306,-0.254081633,-116.4375,-2.5625,16
34.50,33646.94652,-2281.088222,-1256.926163,-0.414285714,-0.147959184,-0.267346939,-116.4375,-2.5625,16
34.56,33242.29508,-2402.841753,-1407.327584,-0.423469388,-0.152040816,-0.237755102,-115.6875,-2.1875,25.5625
34.63,33041.75985,-2538.91923,-1271.250108,-0.414285714,-0.158163265,-0.247959184,-114.625,6.8125,29.5
34.69,32697.98517,-2388.517808,-1113.686714,-0.395918367,-0.128571429,-0.25,-114.625,6.8125,29.5
34.75,32182.32316,-2223.792442,-1199.630384,-0.380612245,-0.139795918,-0.233673469,-113.875,14.75,23.8125
34.81,31605.78437,-2331.222029,-1418.070543,-0.390816327,-0.12244898,-0.216326531,-113.5625,15.125,16
