ORT,ORA,RST,RSA
11.591,94.004,8.0625,31.025723
11.641,95.718,8.09375,31.266063
11.691,97.45,8.125,31.509632
11.741,99.197,8.15625,31.756499
11.791,100.96,8.1875,32.006735
11.841,102.736,8.21875,32.260411
11.891,104.522,8.25,32.517598
11.941,106.318,8.28125,32.778369
11.991,108.12,8.3125,33.042796
12.041,109.925,8.34375,33.310951
12.091,111.732,8.375,33.582906
12.141,113.536,8.40625,33.858734
12.191,115.334,8.4375,34.138507
12.241,117.123,8.46875,34.422298
12.291,118.897,8.5,34.710178
12.341,120.654,8.53125,35.00222
12.391,122.396,8.5625,35.298496
12.441,124.129,8.59375,35.599077
12.491,125.838,8.625,35.904036
12.541,127.507,8.65625,36.213444
12.591,129.131,8.6875,36.527373
12.641,130.705,8.71875,36.845895
12.691,132.225,8.75,37.169082
12.741,133.684,8.78125,37.497006
12.791,135.079,8.8125,37.829739
12.841,136.405,8.84375,38.167352
12.891,137.658,8.875,38.509918
12.941,138.834,8.90625,38.85751
12.991,139.93,8.9375,39.2102
13.041,140.944,8.96875,39.568061
13.091,141.873,9,39.931167
13.141,142.715,9.03125,40.299591
13.191,143.471,9.0625,40.673406
13.241,144.139,9.09375,41.052688
NaN,NaN,9.125,41.43751
13.291,144.721,9.15625,41.827948
13.292,NaN,9.1875,42.224076
13.299,NaN,9.21875,42.62597
13.307,NaN,9.25,43.033706
13.314,NaN,9.28125,43.44736
13.322,NaN,9.3125,43.867009
13.33,NaN,9.34375,44.292728
13.339,NaN,9.375,44.724595
13.348,NaN,9.40625,45.162687
13.357,NaN,9.4375,45.60708
13.366,NaN,9.46875,46.057853
13.377,NaN,9.5,46.515083
13.387,NaN,9.53125,46.978846
13.398,NaN,9.5625,47.449221
13.41,NaN,9.59375,47.926283
13.422,NaN,9.625,48.410111
13.434,NaN,9.65625,48.900781
13.448,NaN,9.6875,49.39837
13.462,NaN,9.71875,49.902953
13.477,NaN,9.75,50.414607
13.493,NaN,9.78125,50.933406
13.51,NaN,9.8125,51.459425
13.528,NaN,9.84375,51.992739
13.547,NaN,9.875,52.533421
13.568,NaN,9.90625,53.081543
13.59,NaN,9.9375,53.637178
13.614,NaN,9.96875,54.200396
13.64,NaN,10,54.771267
13.668,NaN,10.03125,55.349862
13.699,NaN,10.0625,55.936247
13.733,NaN,10.09375,56.530491
13.77,NaN,10.125,57.132659
13.812,NaN,10.15625,57.742817
13.859,NaN,10.1875,58.361028
13.911,NaN,10.21875,58.987355
13.972,NaN,10.25,59.621859
14.042,NaN,10.28125,60.264602
14.124,NaN,10.3125,60.915641
14.223,NaN,10.34375,61.575035
14.344,NaN,10.375,62.242841
14.496,NaN,10.40625,62.919114
14.693,NaN,10.4375,63.603908
14.96,NaN,10.46875,64.297278
15.335,NaN,10.5,64.999274
NaN,NaN,10.53125,65.709948
15.835,NaN,10.5625,66.429349
16.335,NaN,10.59375,67.157526
16.835,NaN,10.625,67.894527
17.335,NaN,10.65625,68.640399
17.835,NaN,10.6875,69.395186
18.335,NaN,10.71875,70.158933
18.835,NaN,10.75,70.931684
19.335,NaN,10.78125,71.713481
19.835,NaN,10.8125,72.504366
20.335,NaN,10.84375,73.304378
20.835,NaN,10.875,74.113556
21.335,NaN,10.90625,74.931939
21.835,NaN,10.9375,75.759563
22.335,NaN,10.96875,76.596463
22.835,NaN,11,77.442673
23.335,NaN,11.03125,78.298224
23.835,NaN,11.0625,79.163145
24.335,NaN,11.09375,80.037465
24.835,NaN,11.125,80.921208
25.335,NaN,11.15625,81.814397
25.835,NaN,11.1875,82.717049
26.335,NaN,11.21875,83.62918
26.835,NaN,11.25,84.550801
27.335,NaN,11.28125,85.481917
27.835,NaN,11.3125,86.422528
28.335,NaN,11.34375,87.372629
28.835,NaN,11.375,88.332207
29.335,NaN,,
29.835,NaN,,
30.335,NaN,,
30.835,NaN,,
31.335,NaN,,
31.835,NaN,,
32.335,NaN,,
32.835,NaN,,
33.335,NaN,,
33.835,NaN,,
34.335,NaN,,
34.835,NaN,,
35.335,NaN,,
35.835,NaN,,
36.335,NaN,,
36.835,NaN,,
37.335,NaN,,
37.835,NaN,,
38.335,NaN,,
38.835,NaN,,
39.335,NaN,,
39.835,NaN,,
40.335,NaN,,
40.835,NaN,,
41.335,NaN,,
41.835,NaN,,
42.335,NaN,,
42.835,NaN,,
43.335,NaN,,
43.835,NaN,,
44.335,NaN,,
44.835,NaN,,
45.335,NaN,,
45.835,NaN,,
46.335,NaN,,
46.835,NaN,,
47.335,NaN,,
47.835,NaN,,
48.335,NaN,,
48.835,NaN,,
49.335,NaN,,
49.835,NaN,,
50.335,NaN,,
50.835,NaN,,
51.335,NaN,,
51.835,NaN,,
52.335,NaN,,
52.835,NaN,,
53.335,NaN,,
53.835,NaN,,
54.335,NaN,,
54.835,NaN,,
55.335,NaN,,
55.835,NaN,,
56.335,NaN,,
56.835,NaN,,
57.335,NaN,,
57.835,NaN,,
58.335,NaN,,
58.835,NaN,,
59.335,NaN,,
59.835,NaN,,
60.335,NaN,,
60.835,NaN,,
61.335,NaN,,
61.835,NaN,,
62.335,NaN,,
62.835,NaN,,
63.335,NaN,,
63.835,NaN,,
64.335,NaN,,
64.835,NaN,,
NaN,NaN,,
NaN,NaN,,
64.939,NaN,,
